scope,emotion,token,z,count_in_emotion
Hindi,Devotion,🙏,33.27,1289
Hindi,Devotion,जय,22.19,474
Hindi,Devotion,jai,21.43,420
Hindi,Devotion,❤,17.8,1301
Hindi,Devotion,श्री,15.55,231
Hindi,Devotion,shree,15.31,211
Hindi,Devotion,🚩,14.44,202
Hindi,Devotion,राधे,14.4,194
Hindi,Neutral,hai,10.27,310
Hindi,Neutral,kon,7.6,78
Hindi,Neutral,dekh,7.39,73
Hindi,Neutral,bhai,6.68,125
Hindi,Neutral,है,6.39,286
Hindi,Neutral,me,6.07,96
Hindi,Neutral,hu,6.04,59
Hindi,Neutral,raha,5.97,55
Hinglish,Love,❤,36.7,2096
Hinglish,Love,love,14.42,247
Hinglish,Love,😍,10.0,121
Hinglish,Love,you,9.51,199
Hinglish,Love,😘,9.21,85
Hinglish,Love,😊,7.87,189
Hinglish,Love,bhai,7.19,310
Hinglish,Love,cute,6.81,45
Hinglish,Joy,😂,35.52,1506
Hinglish,Joy,🤣,17.78,296
Hinglish,Joy,😅,11.68,285
Hinglish,Joy,🎉,9.09,169
Hinglish,Joy,😊,7.04,169
Hinglish,Joy,bhai,6.62,284
Hinglish,Joy,😁,6.48,45
Hinglish,Joy,hai,5.55,391
Hinglish,Anger,😡,9.73,93
Hinglish,Anger,hai,8.87,639
Hinglish,Anger,ko,8.77,318
Hinglish,Anger,ki,6.27,291
Hinglish,Anger,desh,6.06,49
Hinglish,Anger,log,6.06,96
Hinglish,Anger,kar,5.86,131
Hinglish,Anger,nahi,5.8,175
Hinglish,Sadness,😢,26.48,1033
Hinglish,Sadness,😭,14.55,426
Hinglish,Sadness,🥺,9.06,147
Hinglish,Sadness,💔,8.3,78
Hinglish,Sadness,nhi,6.96,187
Hinglish,Sadness,😥,5.47,54
Hinglish,Sadness,😞,5.15,31
Hinglish,Sadness,😔,5.14,45
Hinglish,Fear,dar,17.48,317
Hinglish,Fear,😮,9.18,282
Hinglish,Fear,😰,8.88,79
Hinglish,Fear,lagta,8.62,130
Hinglish,Fear,😱,8.52,84
Hinglish,Fear,😨,8.09,64
Hinglish,Fear,hai,7.59,592
Hinglish,Fear,bhoot,7.48,82
Hinglish,Surprise,😮,21.22,469
Hinglish,Surprise,hai,7.79,160
Hinglish,Surprise,😂,6.57,118
Hinglish,Surprise,😳,5.7,30
Hinglish,Surprise,bhai,5.43,81
Hinglish,Surprise,me,5.4,81
Hinglish,Surprise,to,5.08,72
Hinglish,Surprise,❤,5.07,14
Hinglish,Nostalgia,din,14.73,265
Hinglish,Nostalgia,bachpan,14.37,183
Hinglish,Nostalgia,yaad,13.55,173
Hinglish,Nostalgia,😭,9.78,306
Hinglish,Nostalgia,miss,9.19,99
Hinglish,Nostalgia,😢,8.71,402
Hinglish,Nostalgia,wo,8.45,146
Hinglish,Nostalgia,the,7.78,165
Hinglish,Devotion,🙏,31.46,1081
Hinglish,Devotion,jay,21.57,408
Hinglish,Devotion,jai,20.17,375
Hinglish,Devotion,❤,18.68,1140
Hinglish,Devotion,🏻,15.37,251
Hinglish,Devotion,shree,14.7,191
Hinglish,Devotion,ji,14.0,292
Hinglish,Devotion,ram,13.23,172
Hinglish,Neutral,hai,9.07,484
Hinglish,Neutral,bhai,5.81,220
Hinglish,Neutral,kya,5.12,118
Hinglish,Neutral,ka,5.08,152
Hinglish,Neutral,se,4.98,164
Hinglish,Neutral,me,4.95,175
Hinglish,Neutral,video,4.85,121
Hinglish,Neutral,kon,4.73,59
